City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Ngaoundere,CM,7.3167,13.5833,69.91,18,20,4.76,few clouds
314,Ostrovnoy,RU,68.0531,39.5131,15.66,66,100,17.31,overcast clouds
315,Hami,CN,42.8,93.45,26.29,51,73,5.59,broken clouds
316,Gewane,ET,10.1664,40.6453,82.6,37,99,6.82,overcast clouds
317,Biak,ID,-0.9131,122.8766,75.24,85,100,4.79,overcast clouds
318,Mayo,US,38.8876,-76.5119,35.58,80,100,11.5,light snow
319,Luganville,VU,-15.5333,167.1667,80.06,86,100,10.45,overcast clouds
320,Fortuna,US,40.5982,-124.1573,48.54,54,84,3.83,broken clouds
321,Huarmey,PE,-10.0681,-78.1522,77.31,69,5,12.41,clear sky
322,Pisco,PE,-13.7,-76.2167,77.83,61,10,11.79,clear sky
323,Pingzhuang,CN,42.0372,119.2889,6.8,88,100,9.6,overcast clouds
324,Olinda,BR,-8.0089,-34.8553,82.98,69,3,10.89,clear sky
325,Neryungri,RU,56.6709,124.6491,-34.96,100,66,2.06,broken clouds
326,Bonaventure,CA,48.0457,-65.4926,7.84,78,24,8.52,few clouds
327,Abnub,EG,27.2696,31.1511,59.07,44,0,9.6,clear sky
328,Jibuti,DJ,11.5,42.5,70.56,70,1,12.28,clear sky
329,Cidreira,BR,-30.1811,-50.2056,70.32,91,100,7.7,overcast clouds
330,Bolshaya Glushitsa,RU,50.2406,43.5908,23.74,95,8,6.67,clear sky
331,Zhanaozen,KZ,43.3,52.8,30.24,67,6,12.03,clear sky
332,Rawson,AR,-43.3002,-65.1023,89.74,21,0,19.89,clear sky
333,Hamilton,US,39.1834,-84.5333,31.35,55,70,4.0,broken clouds
334,Charters Towers,AU,-20.1,146.2667,68.85,82,1,7.16,clear sky
335,Adelaide,AU,-34.9333,138.6,69.42,52,0,3.44,clear sky
336,Srandakan,ID,-7.9386,110.2506,61.74,93,100,5.91,heavy intensity rain
337,Kamaishi,JP,39.2667,141.8833,32.72,69,100,3.87,overcast clouds
338,Waspan,NI,14.7419,-83.9717,78.48,49,43,8.66,scattered clouds
339,Hun,LY,29.1268,15.9477,55.78,38,0,9.75,clear sky
340,Bullhead City,US,35.1478,-114.5683,81.28,10,0,19.57,clear sky
341,Kavieng,PG,-2.5744,150.7967,80.74,78,96,6.8,overcast clouds
342,Bandarbeyla,SO,9.4942,50.8122,75.24,65,16,18.37,few clouds
343,Shingu,JP,33.7333,135.9833,45.91,87,100,4.81,overcast clouds
